	IG flesh	MG flesh	Br flesh	Or Flesh	Rd flesh	IG peel	MG peel	Br peel	Or peel 	Rd peel		A_IG-FLESH	B_IG-FLESH	C_IG-FLESH	A_MG-FLESH	B_MG-FLESH	C_MG-FLESH	A_BR-FLESH	B_BR-FLESH	C_BR-FLESH	A_OR-FLESH	B_OR-FLESH	C_OR-FLESH	A_RED-FLESH	B_RED-FLESH	C_RED-FLESH	A_IG-PEEL	B_IG-PEEL	C_IG-PEEL	A_MG-PEEL	B_MG-PEEL	C_MG-PEEL	A_BR-PEEL	B_BR-PEEL	C_BR-PEEL	A_OR-PEEL	B_OR-PEEL	C_OR-PEEL	A_RED-PEEL	B_RED-PEEL	C_RED-PEEL	Average (all conditions)
l-Threonine	1	1	1	1	1	1	1	1	0	1		0,063218972	0,253525185	0,056565464	0,152304428	0,03555808	0,104449593	0,256573817	0,140806087	0,067387844	0,153111187	0,03283981	0,088028446	0,165412838	0,174270976	0,202567048	0,073881704	0,251518023	0,049923571	0,193183078	0,034961669	0,131253134	0,104148014	0,195989813	0,060206394	0,047500674	0,024161833	0,028839853	0,086725069	0,127473916	0,074915389	0,1143767303
NICOTINIC_ACID_	1	1	1	1	1	1	1	1	1	1		0,011700704	0,027280379	0,022816765	0,014120346	0,020911039	0,024708419	0,020216795	0,024593371	0,020150877	0,018864008	0,021546954	0,023726632	0,01951642	0,035839731	0,020389849	0,009212323	0,014756892	0,013754316	0,009715077	0,009095949	0,016003358	0,011184244	0,025639044	0,012407297	0,009784131	0,035960923	0,012071255	0,018275445	0,021985255	0,016372802	0,0187533533
Proline	1	1	1	1	1	1	1	1	1	1		0,000941962	0,000718366	0,000479899	0,000584596	0,000222433	0,001141824	0,000850249	0,000253528	0,000493678	0,000775142	0,000561392	0,000997672	0,000834425	0,002302868	0,001841501	0,001029926	0,00073631	0,000501082	0,001355101	0,000498341	0,000612828	0,000843719	0,001569929	0,001029135	0,000616556	0,002447158	0,000260964	0,001043526	0,001864023	0,002100017	0,000983605
Maleic_acid_	1	1	1	1	1	1	1	1	1	1		0,007278875	0,010677716	0,006645308	0,009738863	0,007306157	0,008572634	0,008131533	0,00852666	0,006379511	0,011025003	0,006360213	0,009616551	0,006575183	0,008374935	0,01067046	0,010752129	0,009451171	0,008874581	0,006463679	0,007529087	0,009295861	0,010988647	0,008149239	0,006837005	0,006322432	0,025133944	0,007566677	0,006844087	0,008812404	0,007265092	0,0088721879
Glycine_	1	1	1	1	1	1	1	1	0	1		0,035013406	0,084702971	0,064928955	0,094733858	0,010431076	0,078508022	0,098327984	0,122484234	0,058262682	0,16217532	0,013261315	0,08979802	0,09275867	0,068679949	0,0856149	0,080935809	0,052303348	0,073077395	0,065447722	0,022733541	0,059322077	0,104156934	0,048608365	0,032951714	0,026207047	0,019239158	0,023968872	0,052616559	0,088785462	0,039578893	0,0649871419
succinic_acid_	1	1	1	1	1	1	1	1	1	1		0,015401612	0,028991937	0,029243028	0,013791316	0,019758636	0,031051299	0,018769379	0,029148278	0,031135654	0,030606699	0,037381273	0,044566425	0,024299334	0,036292964	0,040372547	0,014795083	0,022989928	0,034138257	0,016138087	0,023243268	0,028825412	0,02647284	0,031017537	0,036327115	0,052965478	0,114919253	0,059030411	0,049734655	0,06637187	0,078914422	0,0362231332
glyceric acid_	0	1	1	1	1	0	1	1	1	1		0,001223844	0,001212597	0,001118376	0,001493349	0,002166564	0,001879685	0,002102778	0,00119876	0,001615752	0,004386915	0,002889532	0,003437214	0,003405371	0,003776201	0,003530181	0,001455049	0,001024104	0,001040289	0,002694741	0,002099178	0,002740702	0,003463238	0,005134193	0,003971013	0,008949193	0,003906018	0,006817099	0,003879275	0,004926344	0,004420846	0,00306528
uracil_	1	1	1	1	1	1	1	1	1	1		0,002889035	0,013803131	0,008984065	0,006356335	0,005850328	0,01150116	0,004738081	0,015270965	0,010561024	0,008119251	0,007532545	0,011613786	0,005348427	0,009330012	0,017578611	0,003770451	0,014239722	0,016552691	0,003497525	0,012957846	0,011373432	0,008302182	0,012471257	0,009548404	0,003197204	0,044752079	0,007455257	0,006245858	0,008762385	0,00895214	0,010385173
fumeric_acid	1	1	1	1	1	1	1	1	1	1		0,042352933	0,04160385	0,017545697	0,060176185	0,015717932	0,029710901	0,014777544	0,025426291	0,022742046	0,03785031	0,025573729	0,030802416	0,051963901	0,041848205	0,067290543	0,016447986	0,010547082	0,022705438	0,019486517	0,012290606	0,038679418	0,026392123	0,029616053	0,042143648	0,017256658	0,054984677	0,028277945	0,029000166	0,049218081	0,042275301	0,0321568061
homoserine_	0	1	1	1	1	1	1	1	1	1		0,003644323	0,004856768	0,001842295	0,010811766	0,001393445	0,009565063	0,013929735	0,011876831	0,004527398	0,009628593	0,003065287	0,005141477	0,001788345	0,002985815	0,010170407	0,007699505	0,003454762	0,002879879	0,012589197	0,004017624	0,013435148	0,020828477	0,026275246	0,00821724	0,003330448	0,005812135	0,001786373	0,003607096	0,006108888	0,001552902	0,0072274156
Threonic_acid-1,4-lactone_	1	1	0	1	1	1	1	1	1	1		0,004081199	0,00118885	0,002194745	0,002191466	0,001561432	0,002191416	0,000968273	0,002491979	0,000849784	0,001788495	0,002046483	0,001887058	0,003963762	0,005534366	0,002648003	0,002943984	0,002885857	0,002242733	0,004316556	0,003234944	0,004902627	0,002838676	0,006075826	0,001842088	0,002360075	0,003844705	0,001932182	0,003853032	0,005351	0,00346487	0,0029225489
Alanine_{BP}_	1	1	1	1	1	1	1	1	1	1		0,051672968	0,06277536	0,02795587	0,057709942	0,017128031	0,036966562	0,084076977	0,045042951	0,030345565	0,114985537	0,016249996	0,069817838	0,066900263	0,069898946	0,060511829	0,03432027	0,028501194	0,021092075	0,037792109	0,011177777	0,032327354	0,022064224	0,022976588	0,017124479	0,030802227	0,023008586	0,021032444	0,023154403	0,041332418	0,028070069	0,0402271617
malic_acid_	1	1	1	1	1	1	1	1	0	0		7,836010225	8,908627331	7,220457329	15,06652838	11,44461155	13,17532518	13,5708473	18,36635418	15,77875864	12,25847355	11,70281146	13,57953088	8,870239287	9,303369407	9,336218706	5,200754003	7,894525923	9,839099865	6,892862865	2,020581684	4,179048468	4,023521295	5,046935328	5,822230726	3,369964365	2,284444242	4,010290084	1,111240922	1,441850544	1,827111571	8,0460875097
salicylic_acid_	1	1	1	1	1	1	1	1	1	1		0,00275055	0,003574618	0,003007209	0,002151182	0,00268814	0,003275225	0,000951635	0,003475181	0,003247799	0,002059183	0,003090922	0,003388914	0,001184675	0,004077985	0,00529885	0,00368835	0,003014046	0,004309747	0,00342908	0,002887425	0,003288491	0,002143718	0,00481573	0,003612864	0,002474261	0,012948577	0,003319189	0,001668746	0,003164597	0,003310899	0,0034099263
L-Aspartic_acid_	0	1	1	1	1	1	1	0	1	1		0,016161431	0,036781988	0,003671232	0,111731095	0,015092251	0,00983547	0,111177752	0,066779361	0,005082156	0,204771207	0,01435755	0,029744508	0,101737977	0,124852287	0,083614299	0,05765638	0,036395498	0,005914971	0,224279933	0,023456665	0,042713917	0,068124558	0,015166654	0,001390041	0,085698449	0,005327247	0,001411855	0,089327744	0,131586699	0,021549277	0,0581796817
methionine_	1	0	1	1	1	1	1	1	1	1		0,00019405	0,004249421	0,00050496	0,001487267	0,000286872	0,000331888	0,00236658	0,00093102	0,000531646	0,003384927	0,000350068	0,002437568	0,002187717	0,001999462	0,002802619	0,00348297	0,00278117	0,002313438	0,003089005	0,000325723	0,001214081	0,00106643	0,001083276	0,000540365	0,00268667	0,00113963	0,001400412	0,001873111	0,002950194	0,00156906	0,00171872
Pyroglutamic_acid_	1	1	1	1	1	1	1	1	0	1		0,734308071	1,410615079	0,661307332	1,049069165	0,675240671	0,894028102	1,988285846	1,057341497	0,707003905	2,145117711	0,29786611	1,451485497	2,177207405	1,995710871	1,779517161	0,654758044	0,675070288	0,412207465	1,134392577	0,26729197	1,028239475	0,566626492	0,641583142	0,431333952	0,55859534	0,285357185	0,369204835	0,443073361	0,747938388	0,60803928	0,9282605406
4-Aminobutyric_acid_	1	1	1	1	1	0	0	0	0	0		3,090349866	2,81738024	1,672002365	4,173026083	1,371187586	2,453941653	4,384069187	1,650480274	2,069406069	5,389929434	0,745670613	4,415602486	3,389225477	2,245178118	1,557307306	0,406241017	0,379179877	0,319438873	0,230477774	0,108291434	0,198971511	0,170054531	0,224693817	0,05481566	0,146462416	0,03871072	0,106371373	0,188737068	0,295675199	0,210481771	1,4834453266
Alanine,_phenyl-,_	1	1	1	1	1	1	1	1	0	1		0,044296	0,076048977	0,065849172	0,023370061	0,007418333	0,030106766	0,039237402	0,020680727	0,016385335	0,020092136	0,004293586	0,012274904	0,022997949	0,0288106	0,01840125	0,022343669	0,064750597	0,056758649	0,016629715	0,005604579	0,038504661	0,008017156	0,022444424	0,005757411	0,001493642	0,002018961	0,00062119	0,01276277	0,016163162	0,007960483	0,0237364756
phenylpyruvate_	1	1	1	1	1	1	1	1	1	1		0,002420874	0,000719686	0,001298289	0,001774625	0,001158779	0,002185437	0,001634991	0,00124635	0,002435581	0,002127928	0,00123279	0,002819615	0,003391818	0,005405734	0,002741144	0,001825816	0,001042108	0,002701342	0,001555199	0,000373951	0,001873402	0,001166421	0,001936083	0,001740798	0,004649495	0,00243493	0,003708032	0,002672556	0,006635084	0,003878924	0,0023595927
ASPARAGINE_	0	1	1	1	1	0	1	0	1	1		0,004490708	0,00438481	0,002766353	0,023949469	0,003164197	0,004843061	0,050255732	0,021935428	0,00402418	0,04991057	0,001473704	0,007028355	0,03661669	0,013588066	0,009094462	0,006297506	0,006375006	0,006056744	0,029168984	0,004529791	0,006954543	0,007201628	0,006305197	0,005023059	0,012287308	0,008261055	0,009147242	0,01295577	0,009606005	0,011343778	0,0126346467
Chorismate 	1	1	1	1	1	1	1	1	1	1		0,00815798	0,009734985	0,007057706	0,008445558	0,004823247	0,007361048	0,006704393	0,009150429	0,007076041	0,013394774	0,00719147	0,011007808	0,009118253	0,013318826	0,013936192	0,006417579	0,005395707	0,006276012	0,00953919	0,005364639	0,008969468	0,011166139	0,006650511	0,007143719	0,00819643	0,022056572	0,008962128	0,009253032	0,013260827	0,009422447	0,0091517703
L-Glutamic_acid_	0	0	1	1	1	0	1	0	0	1		0,03049832	0,07046225	0,011699821	0,251828312	0,068930968	0,018127094	0,389642361	0,124799424	0,018464596	0,914874625	0,178315374	0,186857021	1,256930337	1,034506093	0,728292105	0,137429992	0,056385688	0,011223283	0,498272568	0,045945754	0,080106222	0,167667866	0,051284626	0,003763763	0,240430332	0,015800328	0,005423542	0,598628432	1,009753798	0,246343085	0,281756266
Phenylalanine_	1	1	1	1	1	1	1	0	0	0		0,022955522	0,082886213	0,035931372	0,067362901	0,00452317	0,008136844	0,103959539	0,027119713	0,00434941	0,043635545	0,002890879	0,00687302	0,025562733	0,018988511	0,009741039	0,058153526	0,036756075	0,019339799	0,045442105	0,003680081	0,019928837	0,015644811	0,007817869	0,001428035	0,00363208	0,00276494	0,001798379	0,012815538	0,010550737	0,002642417	0,0235770547
XYLOSE_	0	1	1	1	1	0	1	1	1	1		0,023931508	0,022073091	0,019941255	0,026037126	0,027209397	0,017936186	0,029754266	0,023782422	0,021105082	0,033885821	0,042506447	0,022949374	0,050115829	0,045349938	0,043669027	0,022331467	0,015097565	0,023303257	0,041511086	0,032879748	0,031100142	0,043037397	0,050494484	0,031841184	0,064278994	0,121599997	0,052427746	0,145210475	0,145954662	0,115790378	0,046236845
Arabinose_methoxyamine_	0	0	0	1	1	0	1	1	1	1		0,012142	0,017727501	0,016785976	0,034206184	0,029617277	0,030268827	0,032778961	0,031045704	0,026979248	0,050192076	0,042545897	0,038510475	0,075739537	0,082189164	0,075621708	0,017492037	0,019999387	0,01801065	0,070894868	0,054374929	0,060562285	0,079802725	0,070304045	0,062793819	0,129012732	0,135967051	0,109389604	0,285864871	0,30837091	0,248978184	0,0756056211
Ribose_	0	0	0	1	1	0	1	1	1	1		0,029499546	0,026096343	0,015400599	0,046800002	0,053547525	0,035359449	0,05692341	0,042825625	0,045321633	0,074282907	0,047285314	0,058813411	0,138911733	0,078097483	0,087174501	0,041170885	0,034256848	0,026389497	0,077496131	0,078376818	0,070166976	0,136123165	0,121060031	0,106075282	0,23680929	0,197899655	0,203415226	0,282591409	0,29071965	0,272063692	0,1003651345
Putrescine_	1	1	1	1	1	1	1	1	1	1		0,044101797	0,072133421	0,056252644	0,085423123	0,049308979	0,078406003	0,103382144	0,141514728	0,075317369	0,142682727	0,048194344	0,118640423	0,100268261	0,099943527	0,100877621	0,104977977	0,130248402	0,102217224	0,16654864	0,084520735	0,196083289	0,136701665	0,155221592	0,138978923	0,171166294	0,06570141	0,151311708	0,061650323	0,075893486	0,061927341	0,1039865373
Arabinofuranose	1	1	1	1	1	1	1	1	1	1		0,044548542	0,042507502	0,033343895	0,047802605	0,050068794	0,043116429	0,060128398	0,058360878	0,054838859	0,073661764	0,077497419	0,063093553	0,077441783	0,087261716	0,077335164	0,054939	0,052669543	0,044612443	0,064638578	0,047234927	0,052769162	0,086357286	0,06863409	0,065313223	0,088042414	0,166790038	0,102242093	0,106468131	0,110346427	0,112543222	0,0704869293
L-Glutamine	0	1	1	1	0	0	1	0	0	0		0,001421656	0,005201616	0,000909427	0,057175318	0,001214825	0,000777906	0,072387929	0,009882961	0,000681048	0,069190429	0,002413016	0,001046657	0,007532815	0,003287795	0,00120709	0,015127069	0,001370353	0,001032987	0,096036128	0,00109789	0,001033616	0,002238943	0,002483065	0,000471393	0,002983206	0,004143063	0,001474148	0,002078263	0,002199527	0,00072072	0,0122940286
