	IG flesh	MG flesh	Br flesh	Or Flesh	Rd flesh	IG peel	MG peel	Br peel	Or peel 	Rd peel		A_IG-FLESH	B_IG-FLESH	C_IG-FLESH	A_MG-FLESH	B_MG-FLESH	C_MG-FLESH	A_BR-FLESH	B_BR-FLESH	C_BR-FLESH	A_OR-FLESH	B_OR-FLESH	C_OR-FLESH	A_RED-FLESH	B_RED-FLESH	C_RED-FLESH	A_IG-PEEL	B_IG-PEEL	C_IG-PEEL	A_MG-PEEL	B_MG-PEEL	C_MG-PEEL	A_BR-PEEL	B_BR-PEEL	C_BR-PEEL	A_OR-PEEL	B_OR-PEEL	C_OR-PEEL	A_RED-PEEL	B_RED-PEEL	C_RED-PEEL	Average (all conditions)
Octadecanoic_acid	1	1	1	1	1	1	1	1	1	1		0,021228395	0,0204214	0,01258781	0,023011859	0,011299501	0,011295236	0,014159819	0,01302706	0,011654356	0,018639544	0,016373794	0,010149067	0,016165535	0,031617586	0,018622472	0,045299969	0,019619237	0,016177711	0,039311358	0,007864101	0,018686734	0,035485264	0,013138855	0,010021534	0,017007104	0,030181789	0,012325178	0,022248514	0,028840654	0,019564908	0,0195342115
Fructose_6_posphate	0	0	0	0	1	1	0	1	0	1		0	0	0	0,000269196	0	0	0,000158144	0	0	0,000174135	0	0	0,002059093	0,000190883	0	0,001625409	0,000143594	0	0,000646147	0	0	0,002221234	0,000459527	0	0,000340803	0,000202779	0,000282228	0,003202894	0,003545961	0,002590249	0,0006037425
Gluc-6-posphate	0	0	0	0	1	1	1	1	1	1		0,000780024	0	0,000158659	0,00193702	0	0	0,000840169	0	0	0,000408921	0,000470603	0,000235951	0,014461851	0,002367659	0	0,008424472	0,000557955	0,000220123	0,01400301	0	0,000355326	0,009682482	0,001597676	0	0,012334361	0,000438206	0,003461742	0,022112232	0,018792306	0,00935583	0,0040998859
Galacturonic_acid	0	0	0	0	1	0	1	1	1	1		0,006157854	0,002804225	0,001648945	0,013996673	0,002769532	0,003165049	0,005032984	0,002574064	0,001074813	0,014697859	0,01173935	0,002167112	0,061098333	0,01410255	0,003562401	0,032361463	0,004463579	0,002501713	0,114751142	0,001865927	0,003874172	0,050844336	0,056407506	0,002501058	0,117921969	0,008194897	0,01744295	0,24803408	0,276426447	0,123552786	0,040257859
Myo-Inositol-1-phosphate	0	0	0	0	1	0	1	1	1	1		9,42746E-05	3,95995E-05	3,40908E-05	0,000589713	0,000249095	4,79034E-05	0,000358418	0,000258561	0,000049742	0,000559971	0,000384697	3,14568E-05	0,002171459	0,001808048	0,000242947	0,000184638	0,00044013	0,000491913	0,006525352	0,000310146	0,001341267	0,004475979	0,001112538	0,001221548	0,010841995	0,000713842	0,004546562	0,004838012	0,004746271	0,006412001	0,0018374057
b-D-Glc-(1,4)-D-Glc	0	1	1	1	1	1	1	1	1	1		0,002956065	0,003825622	0,001814111	0,005406441	0,006466622	0,003677558	0,005868767	0,004755487	0,004703586	0,005008363	0,007624556	0,005212651	0,007227698	0,007577687	0,007580984	0,007288981	0,008856769	0,003320133	0,010257568	0,009877551	0,006803591	0,007992953	0,01319426	0,006078587	0,010325759	0,01277638	0,012248055	0,01696019	0,023772896	0,016070588	0,0081843486
5-Hydroxytryptamine_	0	1	1	1	1	0	1	1	1	1		0,001777544	0,002763433	0,000264795	0,010420929	0,005549714	0,004023149	0,003829388	0,003874949	0,003532855	0,007732871	0,009336871	0,002203496	0,015361906	0,008451705	0,006330781	0,003042753	0,003895717	0,001746297	0,009067488	0,00485312	0,003989272	0,011605478	0,005254897	0,002841483	0,006202814	0,004391789	0,006472055	0,010778448	0,010457525	0,008303962	0,0059452495
N12C_NID1_2610.6_1267BK12_[NA]	0	0	0	0	0	0	1	1	1	1		0,000516993	0,000272928	0,000665149	0,000218262	0,000113938	0,000160613	0,000511029	0,000600221	0,00017417	0,000101195	0,000283076	9,40014E-05	0,004111923	0,000292664	0,000406501	0,001558712	0,000328347	0,000239764	0,01423402	0,00038805	0,00017209	0,007872191	0,001366864	9,32718E-05	0,021353566	0,000659538	0,000195621	0,085693695	0,039563762	0,001483518	0,0061241891
Sucrose;_alpha-D-Glc_17	0	0	0	1	1	0	1	1	1	1		8,330698236	4,065464027	11,658698	8,715755818	8,61311908	10,88117548	11,62575805	9,113167089	8,229500726	9,816256294	10,14885996	13,0941863	27,77820982	34,23357963	24,26598315	9,978030809	4,677255783	9,207234243	23,89133288	15,2000929	21,93019978	19,36338914	42,21207384	15,97752578	27,80475334	21,25558318	20,43096712	61,92733831	75,49790672	57,2176138	20,9047236428
Treholose_	1	1	1	0	1	0	1	1	1	1		0,021796011	0,020311225	0,03283933	0,015842809	0,034260134	0,013825779	0,028053615	0,018943676	0,026063089	0,018250899	0,008556252	0,01603749	0,029769074	0,019664582	0,020312366	0,012376823	0,019400065	0,008350134	0,031049844	0,069064797	0,069668456	0,036682998	0,057476706	0,062657463	0,069279279	0,002553413	0,027994584	0,072386635	0,040532617	0,057227752	0,0320409299
Maltose	0	1	1	1	1	0	1	1	1	1		0,003144901	0,003767196	0,003378542	0,005412563	0,006115626	0,005535866	0,008354823	0,00723554	0,007057822	0,007619476	0,010955572	0,008911584	0,015161666	0,013385942	0,013746701	0,004543031	0,00459596	0,003661555	0,005970924	0,007064411	0,00580997	0,007326273	0,014328128	0,007640476	0,009037533	0,010057553	0,009394131	0,022641218	0,03166226	0,01832627	0,0093947838
Naringenine	0	0	0	0	0	0	0	0	1	1		0,000201252	9,48642E-05	0,00012349	0,000280011	0,000107839	0,000117277	0,000159885	0,000112852	0,000103324	0,000147546	0,000195634	0,000125271	0,000302461	0,000158194	0,000321376	0,00023718	9,08903E-05	0,000211071	0,000519568	0,000103493	0,000262356	0,053577757	0,010650501	0,01047088	3,057963837	0,986033377	1,402499606	0,901815709	0,370703838	0,997189399	0,259829358
Galactinol	1	1	0	0	1	1	0	0	0	0		0,15444769	0,119925456	0,190494516	0,036285436	0,036871191	0,035339027	0,030410713	0,025907823	0,025247195	0,021185671	0,034498579	0,027020126	0,042958551	0,038520006	0,034803606	0,228328982	0,148901269	0,233477431	0,028910144	0,023373757	0,03358537	0,020945081	0,031033879	0,017511224	0,014265168	0,021868677	0,019259587	0,02000666	0,028057993	0,020046481	0,058116243
Raffinose	0	0	0	0	0	0	1	1	1	1		0,004534983	0,014417987	0,003311524	0,01107954	0,031692842	0,005012971	0,010410652	0,019899138	0,028297977	0,020615411	0,004418781	0,001418311	0,019164259	0,012849359	0,009013198	0,013547717	0,03961585	0,00379587	0,101026784	0,17834693	0,106145071	0,064265367	0,085254872	0,127984341	0,115310235	0,006006033	0,03516027	0,064996023	0,035959685	0,057073858	0,0410208613
